10 Hearts;Jack Hearts;King Hearts;Queen Hearts;Aces Hearts;Royal Flush
Jack Spade;King Spade;10 Spade;Queen Spade;Aces Spade;Royal Flush
Queen Diamond;Jack Diamond;King Diamond;10 Diamond;Aces Diamond;Royal Flush
10 Clubs;Jack Clubs;Aces Clubs;King Clubs;Queen Clubs;Royal Flush
Aces Clubs;King Clubs;Queen Clubs;Jack Clubs;10 Clubs;Royal Flush
2 Hearts;4 Hearts;5 Hearts;3 Hearts;6 Hearts;Straight Flush
9 Hearts;Queen Hearts;10 Hearts;Jack Hearts;King Hearts;Straight Flush
Aces Spade;2 Spade;3 Spade;4 Spade;5 Spade;Straight Flush
5 Diamond;6 Diamond;9 Diamond;7 Diamond;8 Diamond;Straight Flush
Aces Clubs;4 Clubs;2 Clubs;3 Clubs;5 Clubs;Straight Flush
Aces Hearts;Aces Spade;9 Diamond;5 Hearts;3 Spade;One pair
6 Spade;Aces Spade;King Clubs;4 Spade;9 Clubs;Nothing in hand
10 Hearts;6 Clubs;2 Hearts;Aces Hearts;8 Diamond;Nothing in hand
King Spade;Aces Spade;4 Clubs;5 Hearts;Jack Spade;Nothing in hand
8 Diamond;Queen Clubs;9 Diamond;2 Clubs;2 Diamond;One pair
3 Hearts;7 Clubs;5 Hearts;4 Spade;King Clubs;Nothing in hand
4 Hearts;Aces Hearts;3 Hearts;5 Diamond;2 Diamond;Straight
8 Diamond;Queen Diamond;7 Spade;6 Spade;2 Hearts;Nothing in hand
8 Clubs;Jack Hearts;6 Clubs;2 Diamond;Queen Clubs;Nothing in hand
7 Diamond;7 Spade;Jack Clubs;Queen Hearts;Aces Diamond;One pair
King Hearts;8 Clubs;7 Spade;10 Spade;King Diamond;One pair
6 Spade;8 Spade;Jack Hearts;4 Hearts;7 Diamond;Nothing in hand
10 Diamond;10 Spade;5 Clubs;2 Hearts;8 Diamond;One pair
Aces Spade;King Diamond;6 Clubs;9 Hearts;Aces Clubs;One pair
10 Spade;8 Spade;8 Hearts;2 Diamond;King Spade;One pair
King Spade;5 Hearts;5 Clubs;8 Clubs;3 Diamond;One pair
Aces Diamond;5 Hearts;7 Spade;King Diamond;Aces Hearts;One pair
7 Hearts;5 Hearts;8 Clubs;6 Hearts;6 Spade;One pair
7 Diamond;9 Diamond;Queen Spade;5 Spade;4 Clubs;Nothing in hand
10 Spade;Aces Hearts;Queen Hearts;6 Clubs;8 Spade;Nothing in hand
King Diamond;7 Spade;Jack Clubs;Jack Diamond;Jack Spade;Three of a kind
2 Clubs;7 Spade;King Diamond;Jack Spade;10 Diamond;Nothing in hand
Jack Hearts;7 Spade;6 Hearts;2 Clubs;Aces Hearts;Nothing in hand
4 Diamond;3 Clubs;5 Diamond;Queen Spade;9 Hearts;Nothing in hand
2 Diamond;6 Hearts;Jack Spade;3 Clubs;10 Spade;Nothing in hand
8 Clubs;3 Clubs;King Clubs;Queen Clubs;Aces Hearts;Nothing in hand
6 Spade;8 Clubs;3 Clubs;2 Spade;2 Hearts;One pair
King Clubs;6 Hearts;8 Diamond;3 Hearts;3 Spade;One pair
9 Spade;10 Spade;Jack Clubs;7 Clubs;3 Clubs;Nothing in hand
10 Spade;Queen Diamond;2 Hearts;2 Spade;King Spade;One pair
5 Spade;Queen Spade;3 Spade;2 Hearts;3 Diamond;One pair
8 Spade;2 Diamond;5 Spade;Queen Hearts;8 Clubs;One pair
Aces Spade;7 Clubs;6 Clubs;5 Clubs;5 Hearts;One pair
King Diamond;Aces Spade;7 Diamond;3 Hearts;6 Spade;Nothing in hand
10 Clubs;King Clubs;5 Diamond;8 Spade;10 Hearts;One pair
2 Hearts;Jack Hearts;9 Diamond;7 Hearts;5 Diamond;Nothing in hand
2 Spade;Aces Diamond;Jack Spade;6 Spade;4 Clubs;Nothing in hand
10 Hearts;Aces Clubs;4 Clubs;Queen Clubs;9 Hearts;Nothing in hand
9 Clubs;King Diamond;Aces Spade;9 Diamond;Queen Clubs;One pair
Aces Clubs;Aces Diamond;3 Hearts;4 Clubs;Jack Spade;One pair
5 Hearts;4 Clubs;King Spade;7 Diamond;10 Clubs;Nothing in hand
10 Hearts;7 Diamond;3 Hearts;6 Diamond;8 Diamond;Nothing in hand
2 Clubs;4 Diamond;7 Clubs;9 Diamond;Aces Spade;Nothing in hand
8 Clubs;9 Hearts;4 Spade;Jack Hearts;3 Spade;Nothing in hand
7 Spade;King Clubs;3 Spade;4 Diamond;Aces Spade;Nothing in hand
Queen Clubs;3 Spade;7 Clubs;5 Spade;Aces Clubs;Nothing in hand
5 Spade;King Diamond;Queen Diamond;7 Diamond;King Hearts;One pair
8 Clubs;2 Diamond;8 Spade;9 Spade;Jack Diamond;One pair
8 Hearts;Queen Hearts;9 Spade;6 Spade;2 Diamond;Nothing in hand
5 Hearts;King Diamond;King Spade;7 Spade;5 Clubs;Two pairs
7 Clubs;10 Clubs;Aces Diamond;3 Diamond;5 Spade;Nothing in hand
King Diamond;2 Spade;10 Clubs;3 Diamond;King Spade;One pair
5 Hearts;7 Diamond;3 Hearts;6 Hearts;8 Spade;Nothing in hand
2 Hearts;3 Clubs;8 Spade;Jack Clubs;King Clubs;Nothing in hand
Aces Spade;4 Hearts;Aces Clubs;Jack Clubs;7 Diamond;One pair
4 Hearts;Aces Clubs;Queen Clubs;3 Spade;King Clubs;Nothing in hand
9 Hearts;Aces Clubs;7 Clubs;4 Clubs;2 Diamond;Nothing in hand
3 Clubs;Aces Diamond;6 Hearts;5 Hearts;10 Spade;Nothing in hand
9 Spade;2 Clubs;3 Diamond;6 Spade;9 Diamond;One pair
Aces Diamond;5 Hearts;8 Clubs;10 Diamond;5 Diamond;One pair
7 Clubs;5 Clubs;9 Spade;8 Diamond;5 Hearts;One pair
King Clubs;Jack Hearts;4 Clubs;5 Diamond;Aces Clubs;Nothing in hand
King Clubs;8 Diamond;Aces Hearts;6 Clubs;King Hearts;One pair
8 Clubs;4 Clubs;2 Clubs;Aces Clubs;7 Clubs;Flush
3 Spade;10 Clubs;5 Diamond;King Diamond;3 Clubs;One pair
4 Hearts;King Spade;Aces Diamond;4 Clubs;Aces Clubs;Two pairs
2 Diamond;10 Clubs;6 Spade;Queen Hearts;10 Diamond;One pair
Jack Spade;9 Diamond;Jack Hearts;8 Clubs;8 Diamond;Two pairs
4 Spade;4 Hearts;5 Spade;8 Hearts;King Hearts;One pair
King Spade;9 Hearts;2 Hearts;4 Hearts;4 Clubs;One pair
2 Clubs;10 Diamond;Queen Hearts;7 Diamond;8 Clubs;Nothing in hand
6 Spade;King Hearts;5 Clubs;2 Spade;9 Clubs;Nothing in hand
Queen Hearts;5 Clubs;King Clubs;Jack Diamond;10 Diamond;Nothing in hand
7 Spade;3 Spade;King Diamond;Jack Diamond;4 Hearts;Nothing in hand
10 Spade;Jack Spade;5 Spade;6 Diamond;4 Spade;Nothing in hand
Queen Spade;6 Clubs;9 Diamond;Aces Clubs;Queen Clubs;One pair
8 Hearts;10 Hearts;King Spade;5 Diamond;4 Hearts;Nothing in hand
7 Spade;4 Hearts;King Spade;2 Diamond;Queen Clubs;Nothing in hand
7 Spade;Queen Clubs;Aces Clubs;King Clubs;Jack Diamond;Nothing in hand
9 Hearts;3 Diamond;4 Clubs;10 Hearts;Aces Spade;Nothing in hand
Aces Spade;Queen Diamond;8 Diamond;2 Hearts;Aces Diamond;One pair
9 Hearts;10 Diamond;8 Hearts;4 Clubs;5 Hearts;Nothing in hand
Aces Spade;8 Spade;6 Spade;Aces Diamond;4 Diamond;One pair
Jack Clubs;Queen Diamond;4 Diamond;Queen Clubs;7 Clubs;One pair
